DATETIME,alt(km),lat(deg),lon(deg)
2019-07-31 18:14:00,7462.35916,42.060339,51.060438
2019-07-31 18:19:00,7752.78809,42.260585,58.916499
2019-07-31 18:24:00,8051.73556,41.775924,66.359893
2019-07-31 18:29:00,8355.13072,40.707536,73.247903
2019-07-31 18:34:00,8659.3214,39.163625,79.506639
2019-07-31 18:39:00,8961.07245,37.247205,85.122606
2019-07-31 18:44:00,9257.54688,35.048778,90.12497
2019-07-31 18:49:00,9546.27672,32.643474,94.567428
2019-07-31 18:54:00,9825.12881,30.091219,98.514172
2019-07-31 18:59:00,10092.26892,27.438467,102.030827
2019-07-31 19:04:00,10346.12666,24.720479,105.179441
2019-07-31 19:09:00,10585.36257,21.96359,108.016222
2019-07-31 19:14:00,10808.83807,19.187189,110.590907
2019-07-31 19:19:00,11015.58858,16.405356,112.947018
2019-07-31 19:24:00,11204.80002,13.628169,115.122513
2019-07-31 19:29:00,11375.7883,10.862715,117.150586
2019-07-31 19:34:00,11527.98184,8.113878,119.060471
2019-07-31 19:39:00,11660.90668,5.384945,120.878203
2019-07-31 19:44:00,11774.17402,2.678074,122.62729
2019-07-31 19:49:00,11867.46996,-0.005331,124.329317
2019-07-31 19:54:00,11940.54713,-2.664321,126.004484
2019-07-31 19:59:00,11993.21812,-5.298153,127.672078
2019-07-31 20:04:00,12025.35046,-7.906069,129.350916
2019-07-31 20:09:00,12036.86318,-10.487092,131.059747
2019-07-31 20:14:00,12027.7247,-13.039822,132.817636
2019-07-31 20:19:00,11997.95205,-15.562223,134.644343
2019-07-31 20:24:00,11947.61153,-18.051388,136.56068
2019-07-31 20:29:00,11876.8206,-20.503264,138.58887
2019-07-31 20:34:00,11785.75126,-22.912331,140.752879
2019-07-31 20:39:00,11674.63491,-25.271221,143.078708
2019-07-31 20:44:00,11543.76877,-27.570255,145.594611
2019-07-31 20:49:00,11393.52419,-29.796901,148.331148
2019-07-31 20:54:00,11224.3568,-31.935137,151.320997
2019-07-31 20:59:00,11036.81898,-33.964736,154.598353
2019-07-31 21:04:00,10831.57472,-35.860511,158.197705
2019-07-31 21:09:00,10609.41722,-37.591586,162.151743
2019-07-31 21:14:00,10371.28958,-39.120841,166.488144
2019-07-31 21:19:00,10118.30865,-40.404736,171.225106
2019-07-31 21:24:00,9851.79241,-41.393793,176.36583
2019-07-31 21:29:00,9573.29067,-42.034037,181.892712
2019-07-31 21:34:00,9284.61899,-42.269613,187.762754
2019-07-31 21:39:00,8987.89501,-42.046512,193.906267
2019-07-31 21:44:00,8685.57574,-41.316993,200.230738
2019-07-31 21:49:00,8380.49359,-40.04385,206.630339
2019-07-31 21:54:00,8075.88732,-38.203635,212.999373
2019-07-31 21:59:00,7775.4226,-35.788217,219.24612
2019-07-31 22:04:00,7483.19495,-32.804684,225.30336
2019-07-31 22:09:00,7203.70577,-29.274198,231.133497
2019-07-31 22:14:00,6941.80096,-25.2306,236.728399
2019-07-31 22:19:00,6702.56163,-20.719446,242.105697
2019-07-31 22:24:00,6491.13916,-15.797722,247.30363
2019-07-31 22:29:00,6312.53335,-10.534134,252.376038
2019-07-31 22:34:00,6171.32269,-5.009536,257.388358
2019-07-31 22:39:00,6071.42074,0.684095,262.415513
